門市,地址,經度,緯度
健康店,台北市松山區健康路241號,121.5633946,25.0543886
三民店,台北市松山區健康路243號,121.5633036,25.0543872
通化店,台北市信義區基隆路二段108號,121.5570479,25.0292648
吉林店,台北市中山區吉林路111號,121.5302802,25.0566101
林森店,台北市中山區林森北路516號,121.5254611,25.0622695
長春店,台北市中山區長春路193號,121.538069,25.0549149
文林店,台北市士林區文林路62號,121.5256907,25.0867957
承四店,台北市士林區承德路四段24號,121.521907,25.0802701
天母店,台北市士林區天母西路12-2號,121.5281732,25.1182623
新生店,台北市大安區新生南路一段133號,121.5331166,25.0375061
和平店,台北市大安區和平東路三段70-3號,121.5505373,25.0243701
木新店,台北市文山區木新路三段272號,121.5583155,24.9812783
景美店,台北市文山區羅斯福路六段302號,121.5396992,24.9906797
金龍店,台北市內湖區內湖路三段3號,121.5927437,25.0842277
文德店,台北市內湖區文德路108號,121.583154,25.07818
內二店,台北市內湖區內湖路二段397號,121.592828,25.084125
光明店,台北市北投區光明路214號,121.5039974,25.1361107
央北店,台北市北投區中央北路一段131號,121.498982,25.135056
北和店,台北市北投區中和街59號,121.502063,25.138618
石牌店,台北市北投區石牌路一段53號,121.5106896,25.1133811
新雅店,新北市板橋區南雅南路一段40號,121.4557701,25.0060842
新海店,新北市板橋區英士路74號,121.460314,25.024576
文化店,新北市板橋區文化路二段501號,121.475885,25.034351
國光店,新北市板橋區國光路61號,121.4587904,25.0182019
板慶店,新北市板橋區重慶路110號,121.4620033,25.0053342
華江店,新北市板橋區文化路二段520號,121.475868,25.033552
新維店,新北市新莊區富國路112號,121.4220035,25.0251794
幸福店,新北市新莊區幸福路27號,121.4588964,25.0492923
福北店,新北市三重區福德北路67號,121.50227,25.065661
新陽店,新北市三重區重陽路三段152號,121.489478,25.067722
福德店,新北市三重區福德北路74號,121.501578,25.066073
永貞店,新北市永和區永貞路420號,121.508843,25.008329
興南店,新北市中和區興南路一段45號,121.5109402,24.9903846
永元店,新北市永和區永元路99號,121.5224534,25.0022063
雙和店,新北市永和區中正路185號,121.5169762,24.9992342
頂溪店,新北市永和區中山路一段24號,121.5138952,25.0105784
新城店,新北市土城區金城路三段162號,121.4673309,24.9873395
金城店,新北市土城區金城路三段159號,121.4688497,24.9886447
汐止店,新北市汐止區新興路26號,121.6565312,25.0642575
汐康店,新北市汐止區康寧街519號,121.6333848,25.0687615
汐福店,新北市汐止區福德一路123-1號,121.6373897,25.0675662
汐新店,新北市汐止區新興路3號,121.6564296,25.0650945
英專店,新北市淡水區水源街一段84號,121.4456844,25.1721708
淡北店,新北市淡水區中山北路一段65號,121.4418908,25.1758369
新中店,新北市新店區中正路255號,121.5387806,24.9735011
蘆洲店,新北市蘆洲區長榮路71號,121.46211,25.083584
八德店,桃園市八德區介壽路一段968號,121.2990159,24.9581709
南崁店,桃園市蘆竹區中正路358號,121.2908014,25.0500993
大興店,桃園市桃園區大興西路二段120號,121.2971902,25.0109397
春日店,桃園市桃園區春日路618之1號,121.3116067,25.0086864
中原店,桃園市中壢區中山東路二段1號,121.2370043,24.9546316
竹雅店,新竹縣竹北市三民路218,121.0119954,24.8334565
新頭店,苗栗縣頭份市中華路1311,120.913851,24.69236
漢口店,台中市北區漢口路四段297號,120.6805245,24.1673023
逢甲店,台中市西屯區福星路556號,120.645742,24.1755382
一心店,台中市南屯區公益路二段169號,120.6479107,24.1506881
永康店,台南市永康區中華路430號,120.2329385,23.0104523
西門店,台南市北區西門路四段121號,120.2071183,23.0088608
東門店,台南市東區東門路二段365巷26號,120.2281537,22.9835758
鼎山店,高雄市三民區灣成里鼎山街255號,120.3221174,22.6590148
三多店,高雄市苓雅區三多一路335號,120.3282886,22.6215225
五甲店,高雄市鳳山區五甲二路572號,120.3326999,22.5963739
青年店,高雄市鳳山區青年路二段450,120.3517648,22.6433538
瑞豐店,高雄市鼓山區裕誠路1085號,120.2995908,22.6657515
新月店,宜蘭縣宜蘭市神農路二段125號,121.7516286,24.7540684
